Gross,IMDB_Rating,Director,Genre,Released_Year,No_of_Votes
348660,8.1,Emir Kusturica,"Comedy, Crime, Romance",1998,50862
17498804,8.1,Joel Coen,"Comedy, Crime, Sport",1998,732620
2734044,8.1,Kar-Wai Wong,"Drama, Romance",2000,124383
16501785,8.1,Danny Boyle,Drama,1996,634716
24611975,8.1,Joel Coen,"Crime, Drama, Thriller",1996,617444
171082,8.1,Emir Kusturica,"Comedy, Drama, War",1995,55220
309811,8.1,Mathieu Kassovitz,"Crime, Drama",1995,150345
23530892,8.1,Aditya Chopra,"Drama, Romance",1995,63516
5535405,8.1,Richard Linklater,"Drama, Romance",1995,272291
4043686,8.1,Krzysztof Kieslowski,"Drama, Mystery, Romance",1994,90729
600200,8.1,Kar-Wai Wong,"Comedy, Crime, Drama",1994,63122
402453882,8.1,Steven Spielberg,"Action, Adventure, Sci-Fi",1993,867615
25010410,8.1,Jim Sheridan,"Biography, Crime, Drama",1993,156842
5216888,8.1,Kaige Chen,"Drama, Music, Romance",1993,25088
2603061,8.1,Yimou Zhang,"Drama, History, Romance",1991,29662
95860116,8.1,Peter Weir,"Comedy, Drama",1989,425457
52287414,8.1,Rob Reiner,"Adventure, Drama",1986,363401
138530565,8.1,Oliver Stone,"Drama, War",1986,381222
2181987,8.1,Wim Wenders,Drama,1984,91188
495770,8.1,Hayao Miyazaki,"Animation, Adventure, Fantasy",1984,150924
13782838,8.1,John Carpenter,"Horror, Mystery, Sci-Fi",1982,371271
22244207,8.1,Alan Parker,"Drama, Fantasy, Music",1982,76081
23530892,8.1,Werner Herzog,"Adventure, Drama",1982,31595
4971340,8.1,Ingmar Bergman,Drama,1982,57784
32868943,8.1,Ridley Scott,"Action, Sci-Fi, Thriller",1982,693827
23530892,8.1,David Lynch,"Biography, Drama",1980,220078
20045115,8.1,Terry Jones,Comedy,1979,367250
48979328,8.1,Michael Cimino,"Drama, War",1978,311361
117235247,8.1,John G. Avildsen,"Drama, Sport",1976,518546
23530892,8.1,Sidney Lumet,Drama,1976,144911
23530892,8.1,Stanley Kubrick,"Adventure, Drama, History",1975,149843
177345,8.1,Andrei Tarkovsky,"Biography, Drama",1975,40081
29000000,8.1,Roman Polanski,"Drama, Mystery, Thriller",1974,294230
30933743,8.1,Peter Bogdanovich,"Comedy, Crime, Drama",1973,42285
